knnicad, /Users/vlad/Desktop/Conformal Anomaly Detection/data/data_nab
1127, 0.575622
1538, 0.793584
2500, 1.50072
4032, 2.717384
4032, 2.768065
1624, 0.851631
4032, 2.744261
2500, 1.500774
1624, 0.888925
2162, 1.244522
4032, 2.802925
4032, 2.897821
4032, 3.092755
4032, 3.14828
4032, 2.902255
4032, 2.890305
2500, 2.808561
4032, 4.256039
4730, 6.492009
1882, 0.958475
2380, 1.306052
10320, 16.204734
4032, 4.225157
1243, 0.619183
15851, 30.419728
4032, 2.653696
4032, 2.580533
15893, 30.461389
1643, 1.456859
1538, 0.85061
15866, 30.217441
5315, 4.026177
15902, 30.793682
15833, 28.521977
22695, 53.201246
4032, 2.720747
4032, 2.568414
4032, 2.590975
7267, 6.570747
2495, 1.446229
15842, 24.417789
15858, 24.586755
1643, 1.40931
4730, 4.276144
4621, 4.454858
4032, 3.443041
4032, 3.591128
4032, 4.34533
4032, 2.875097
18050, 34.152315
4032, 3.051272
4032, 2.861837
4032, 2.808554
15902, 27.802758
15853, 27.106456
4032, 2.170924
4032, 1.846664
15831, 23.713335
