knnlcd, /home/vishimtsev/Conformal-Anomaly-Detection/data/data_nab
1127, 0.717041
1538, 0.988542
2500, 2.261979
4032, 2.653352
4032, 3.964516
4032, 3.983301
1624, 0.640916
2500, 1.975055
1624, 0.652295
4032, 4.710008
4032, 2.952146
4032, 3.432678
4032, 3.861445
2500, 1.406055
4730, 3.365671
4032, 4.218239
4032, 2.669655
15902, 15.278654
2380, 1.566257
15858, 18.208499
15851, 15.961206
4032, 3.263457
15866, 20.344176
4032, 2.871718
4032, 2.955199
2162, 1.182
10320, 13.155606
1538, 0.715282
15893, 17.236117
1643, 0.621731
1643, 1.072683
4032, 3.877903
5315, 4.833337
4032, 3.435214
4032, 3.849501
15853, 17.274432
4032, 3.800045
1882, 1.334945
4032, 4.338832
15833, 15.165777
7267, 7.435285
4032, 4.27077
2495, 1.822168
15842, 16.983109
4032, 3.542008
4032, 2.620322
22695, 24.73668
4730, 4.946529
15902, 18.58269
15831, 17.953571
4621, 4.727232
4032, 3.818645
4032, 2.856985
18050, 20.321584
1243, 0.416948
4032, 4.166767
4032, 3.634804
4032, 2.510308
