loficad, /home/dvolkhonskiy/ish_vlad/Conformal-Anomaly-Detection/data/data_nab
1643, 0.476634
2500, 1.382634
4032, 1.61273
4032, 1.623727
1624, 0.468016
4032, 2.159802
4032, 2.567412
1127, 0.481226
4032, 1.528399
1624, 0.762015
4032, 1.570872
4032, 2.425878
4032, 2.255788
4730, 2.531034
4032, 1.524986
4032, 2.308286
2500, 0.837562
2500, 1.259946
4032, 1.798358
4032, 1.567466
15858, 12.501201
15902, 13.12484
1882, 0.553143
1538, 0.667134
2380, 0.748875
15902, 11.93475
4032, 1.493288
15866, 16.028117
1643, 0.469931
1538, 0.437156
10320, 8.529456
2162, 1.055822
15851, 16.483677
5315, 3.326339
4621, 2.824371
1243, 0.489053
4032, 2.442199
4032, 2.423026
4032, 2.28942
15893, 17.178708
2495, 1.261212
4032, 2.457414
4032, 2.268228
4730, 2.167273
4032, 1.547259
4032, 2.18161
15853, 15.269956
4032, 1.589765
4032, 2.207082
7267, 5.403436
15833, 13.574451
4032, 1.527649
4032, 1.535198
15831, 16.135563
18050, 16.304534
22695, 23.645179
4032, 1.480863
15842, 11.372666
