loflcd, /home/dvolkhonskiy/ish_vlad/Conformal-Anomaly-Detection/data/data_nab
1643, 0.820014
2500, 2.213196
4032, 2.902735
4032, 3.828308
4032, 4.10643
4032, 4.183076
1127, 0.449012
1624, 0.807527
1624, 1.158101
4032, 3.859565
4032, 3.088258
4730, 4.023449
4032, 5.475916
4032, 3.521233
4032, 4.290538
4032, 4.042281
2500, 2.082058
2500, 2.424529
15851, 15.524317
15858, 17.337358
1882, 0.98869
15902, 20.052196
1538, 0.678645
2380, 1.738321
4032, 4.368791
1643, 0.731641
4032, 4.368913
1538, 0.665981
15866, 23.536125
4032, 2.87849
2162, 1.235137
5315, 4.381304
10320, 13.323286
15902, 22.024138
1243, 0.484767
15893, 21.310376
4621, 4.917778
4032, 3.331435
4032, 4.503043
2495, 1.670667
4032, 4.242713
4032, 3.827462
4730, 3.669329
4032, 2.850556
4032, 2.826303
15831, 17.720872
15833, 20.49784
4032, 4.394295
7267, 8.68705
4032, 4.017114
4032, 3.807024
15853, 25.268709
4032, 4.234744
4032, 3.161922
22695, 29.678037
4032, 3.060534
18050, 21.118866
15842, 15.749457
